timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:40.047, 103.80 W, 100 %
2026/05/28 02:55:40.150, 104.49 W, 100 %
2026/05/28 02:55:40.253, 108.19 W, 100 %
2026/05/28 02:55:40.362, 103.07 W, 100 %
2026/05/28 02:55:40.467, 105.89 W, 100 %
2026/05/28 02:55:40.571, 106.47 W, 100 %
2026/05/28 02:55:40.674, 108.96 W, 100 %
2026/05/28 02:55:40.782, 108.69 W, 100 %
2026/05/28 02:55:40.889, 108.96 W, 100 %
2026/05/28 02:55:40.992, 111.35 W, 100 %
2026/05/28 02:55:41.096, 109.72 W, 100 %
2026/05/28 02:55:41.203, 110.78 W, 100 %
2026/05/28 02:55:41.310, 109.05 W, 100 %
2026/05/28 02:55:41.413, 109.63 W, 100 %
2026/05/28 02:55:41.517, 107.19 W, 100 %
2026/05/28 02:55:41.624, 111.26 W, 100 %
2026/05/28 02:55:41.731, 109.44 W, 100 %
2026/05/28 02:55:41.834, 107.27 W, 100 %
2026/05/28 02:55:41.937, 110.01 W, 100 %
2026/05/28 02:55:42.045, 108.77 W, 100 %
2026/05/28 02:55:42.152, 109.74 W, 100 %
2026/05/28 02:55:42.255, 105.80 W, 100 %
2026/05/28 02:55:42.358, 106.52 W, 100 %
2026/05/28 02:55:42.466, 103.36 W, 100 %
2026/05/28 02:55:42.574, 103.98 W, 100 %
2026/05/28 02:55:42.677, 106.29 W, 100 %
2026/05/28 02:55:42.780, 106.29 W, 100 %
2026/05/28 02:55:42.888, 102.09 W, 100 %
2026/05/28 02:55:42.994, 104.09 W, 100 %
2026/05/28 02:55:43.098, 106.95 W, 100 %
2026/05/28 02:55:43.201, 110.13 W, 100 %
2026/05/28 02:55:43.309, 109.44 W, 100 %
2026/05/28 02:55:43.412, 111.26 W, 100 %
2026/05/28 02:55:43.515, 108.96 W, 100 %
2026/05/28 02:55:43.618, 107.46 W, 100 %
2026/05/28 02:55:43.722, 104.20 W, 100 %
2026/05/28 02:55:43.830, 103.53 W, 100 %
2026/05/28 02:55:43.937, 103.43 W, 100 %
2026/05/28 02:55:44.040, 103.64 W, 100 %
2026/05/28 02:55:44.143, 104.71 W, 100 %
2026/05/28 02:55:44.251, 102.94 W, 100 %
2026/05/28 02:55:44.358, 104.47 W, 100 %
2026/05/28 02:55:44.461, 104.74 W, 100 %
2026/05/28 02:55:44.564, 105.85 W, 100 %
2026/05/28 02:55:44.670, 102.69 W, 100 %
2026/05/28 02:55:44.778, 104.90 W, 100 %
2026/05/28 02:55:44.881, 106.96 W, 100 %
2026/05/28 02:55:44.984, 107.92 W, 100 %
2026/05/28 02:55:45.092, 102.65 W, 100 %
2026/05/28 02:55:45.198, 105.12 W, 100 %
2026/05/28 02:55:45.301, 106.77 W, 100 %
2026/05/28 02:55:45.405, 108.96 W, 100 %
2026/05/28 02:55:45.513, 107.43 W, 100 %
2026/05/28 02:55:45.620, 109.34 W, 100 %
2026/05/28 02:55:45.723, 108.86 W, 100 %
2026/05/28 02:55:45.826, 109.34 W, 100 %
2026/05/28 02:55:45.934, 107.33 W, 100 %
2026/05/28 02:55:46.040, 109.82 W, 100 %
2026/05/28 02:55:46.144, 110.49 W, 100 %
2026/05/28 02:55:46.247, 108.38 W, 100 %
2026/05/28 02:55:46.353, 109.25 W, 100 %
2026/05/28 02:55:46.461, 110.14 W, 100 %
2026/05/28 02:55:46.564, 106.75 W, 100 %
2026/05/28 02:55:46.668, 106.12 W, 100 %
2026/05/28 02:55:46.775, 109.63 W, 100 %
2026/05/28 02:55:46.881, 109.83 W, 100 %
2026/05/28 02:55:46.984, 108.99 W, 100 %
